label,recall,precision
human,0.0006648936170212766,1.0
human,0.0013297872340425532,1.0
human,0.0019946808510638296,1.0
human,0.0026595744680851063,1.0
human,0.003324468085106383,1.0
human,0.003989361702127659,1.0
human,0.004654255319148936,1.0
human,0.005319148936170213,1.0
human,0.005984042553191489,1.0
human,0.006648936170212766,1.0
human,0.007313829787234043,1.0
human,0.007313829787234043,0.9166666666666666
human,0.007978723404255319,0.9230769230769231
human,0.008643617021276596,0.9285714285714286
human,0.009308510638297872,0.9333333333333333
human,0.00997340425531915,0.9375
human,0.010638297872340425,0.9411764705882353
human,0.011303191489361703,0.9444444444444444
human,0.011968085106382979,0.9473684210526315
human,0.012632978723404254,0.95
human,0.013297872340425532,0.9523809523809523
human,0.013962765957446808,0.9545454545454546
human,0.014627659574468085,0.9565217391304348
human,0.015292553191489361,0.9583333333333334
human,0.015292553191489361,0.92
human,0.015957446808510637,0.9230769230769231
human,0.016622340425531915,0.9259259259259259
human,0.017287234042553192,0.9285714285714286
human,0.01795212765957447,0.9310344827586207
human,0.018617021276595744,0.9333333333333333
human,0.01928191489361702,0.9354838709677419
human,0.0199468085106383,0.9375
human,0.020611702127659573,0.9393939393939394
human,0.02127659574468085,0.9411764705882353
human,0.021941489361702128,0.9428571428571428
human,0.022606382978723406,0.9444444444444444
human,0.02327127659574468,0.9459459459459459
human,0.023936170212765957,0.9473684210526315
human,0.024601063829787235,0.9487179487179487
human,0.02526595744680851,0.95
human,0.025930851063829786,0.9512195121951219
human,0.026595744680851064,0.9523809523809523
human,0.02726063829787234,0.9534883720930233
human,0.027925531914893616,0.9545454545454546
human,0.028590425531914893,0.9555555555555556
human,0.02925531914893617,0.9565217391304348
human,0.02992021276595745,0.9574468085106383
human,0.030585106382978722,0.9583333333333334
human,0.03125,0.9591836734693877
human,0.031914893617021274,0.96
human,0.032579787234042555,0.9607843137254902
human,0.03324468085106383,0.9615384615384616
human,0.0339095744680851,0.9622641509433962
human,0.034574468085106384,0.9629629629629629
human,0.03523936170212766,0.9636363636363636
human,0.03590425531914894,0.9642857142857143
human,0.036569148936170214,0.9649122807017544
human,0.03723404255319149,0.9655172413793104
human,0.03789893617021277,0.9661016949152542
human,0.03856382978723404,0.9666666666666667
human,0.03922872340425532,0.9672131147540983
human,0.0398936170212766,0.967741935483871
human,0.04055851063829787,0.9682539682539683
human,0.041223404255319146,0.96875
human,0.04188829787234043,0.9692307692307692
human,0.0425531914893617,0.9696969696969697
human,0.04321808510638298,0.9701492537313433
human,0.043882978723404256,0.9705882352941176
human,0.04454787234042553,0.9710144927536232
human,0.04521276595744681,0.9714285714285714
human,0.045877659574468085,0.971830985915493
human,0.04654255319148936,0.9722222222222222
human,0.04720744680851064,0.9726027397260274
human,0.047872340425531915,0.972972972972973
human,0.04853723404255319,0.9733333333333334
human,0.04920212765957447,0.9736842105263158
human,0.049867021276595744,0.974025974025974
human,0.05053191489361702,0.9743589743589743
human,0.0511968085106383,0.9746835443037974
human,0.05186170212765957,0.975
